countryEnglishName,provinceEnglishName,total_confirmedCount,total_curedCount,total_deadCount,updateTime,report_date
Germany,Germany,25247,239,84,22/03/2020 19:43,22/03/2020
United Kingdom,United Kingdom,5018,93,233,22/03/2020 19:43,22/03/2020
Hungary,Hungary,131,7,4,22/03/2020 19:43,22/03/2020
Vietnam,Vietnam,99,17,0,22/03/2020 19:43,22/03/2020
Burkina Faso,Burkina Faso,64,5,3,22/03/2020 19:43,22/03/2020
Bailiwick of Jersey,Bailiwick of Jersey,15,0,0,22/03/2020 19:43,22/03/2020
United Kingdom,United Kingdom,5018,93,233,22/03/2020 19:37,22/03/2020
Germany,Germany,25247,239,84,22/03/2020 19:33,22/03/2020
Hungary,Hungary,131,7,4,22/03/2020 19:33,22/03/2020
United States of America,United States of America,26747,176,340,22/03/2020 19:23,22/03/2020
Germany,Germany,25247,209,83,22/03/2020 19:23,22/03/2020
Spain,Spain,28572,2125,1720,22/03/2020 19:23,22/03/2020
France,France,14459,1587,562,22/03/2020 19:23,22/03/2020
Iran,Iran,21638,7913,1685,22/03/2020 19:23,22/03/2020
Switzerland,Switzerland,6113,3,56,22/03/2020 19:23,22/03/2020
Korea,Korea,8897,2909,104,22/03/2020 19:23,22/03/2020
United Kingdom,United Kingdom,5018,79,233,22/03/2020 19:23,22/03/2020
Netherlands,Netherlands,3631,0,136,22/03/2020 19:23,22/03/2020
Belgium,Belgium,3401,290,75,22/03/2020 19:23,22/03/2020
Austria,Austria,2649,9,7,22/03/2020 19:23,22/03/2020
Norway,Norway,2150,0,7,22/03/2020 19:23,22/03/2020
Sweden,Sweden,1746,17,20,22/03/2020 19:23,22/03/2020
Denmark,Denmark,1326,1,13,22/03/2020 19:23,22/03/2020
Canada,Canada,1330,11,20,22/03/2020 19:23,22/03/2020
Portugal,Portugal,1280,3,12,22/03/2020 19:23,22/03/2020
Malaysia,Malaysia,1306,139,10,22/03/2020 19:23,22/03/2020
Brazil,Brazil,1128,0,18,22/03/2020 19:23,22/03/2020
Australia,Australia,1098,27,7,22/03/2020 19:23,22/03/2020
Czech Republic,Czech Republic,1047,6,0,22/03/2020 19:23,22/03/2020
Turkey,Turkey,947,0,21,22/03/2020 19:23,22/03/2020
Israel,Israel,945,37,1,22/03/2020 19:23,22/03/2020
Japan,Japan,1060,215,37,22/03/2020 19:23,22/03/2020
Luxembourg,Luxembourg,798,0,8,22/03/2020 19:23,22/03/2020
Ireland,Ireland,785,0,3,22/03/2020 19:23,22/03/2020
Pakistan,Pakistan,730,2,3,22/03/2020 19:23,22/03/2020
Thailand,Thailand,599,45,1,22/03/2020 19:23,22/03/2020
Chile,Chile,537,8,1,22/03/2020 19:23,22/03/2020
Poland,Poland,536,13,5,22/03/2020 19:23,22/03/2020
Finland,Finland,521,10,1,22/03/2020 19:23,22/03/2020
Greece,Greece,530,19,13,22/03/2020 19:23,22/03/2020
Iceland,Iceland,473,0,1,22/03/2020 19:23,22/03/2020
Indonesia,Indonesia,514,9,48,22/03/2020 19:23,22/03/2020
Qatar,Qatar,481,27,0,22/03/2020 19:23,22/03/2020
Saudi Arabia,Saudi Arabia,392,16,0,22/03/2020 19:23,22/03/2020
Ecuador,Ecuador,367,0,5,22/03/2020 19:23,22/03/2020
Philippines,Philippines,380,15,25,22/03/2020 19:23,22/03/2020
Slovenia,Slovenia,341,0,1,22/03/2020 19:23,22/03/2020
Peru,Peru,318,0,5,22/03/2020 19:23,22/03/2020
India,India,341,23,6,22/03/2020 19:23,22/03/2020
Estonia,Estonia,306,0,0,22/03/2020 19:23,22/03/2020
Singapore,Singapore,432,140,2,22/03/2020 19:23,22/03/2020
Russia,Russia,306,16,1,22/03/2020 19:23,22/03/2020
Romania,Romania,308,31,0,22/03/2020 19:23,22/03/2020
Mexico,Mexico,251,1,2,22/03/2020 19:23,22/03/2020
Egypt,Egypt,294,41,10,22/03/2020 19:23,22/03/2020
Panama,Panama,245,0,3,22/03/2020 19:23,22/03/2020
South Africa,South Africa,240,0,0,22/03/2020 19:23,22/03/2020
Argentina,Argentina,225,1,4,22/03/2020 19:23,22/03/2020
Lebanon,Lebanon,230,8,4,22/03/2020 19:23,22/03/2020
Colombia,Colombia,210,0,1,22/03/2020 19:23,22/03/2020
Bahrain,Bahrain,306,100,1,22/03/2020 19:23,22/03/2020
Slovakia,Slovakia,178,0,1,22/03/2020 19:23,22/03/2020
Republic of Serbia,Republic of Serbia,171,0,1,22/03/2020 19:23,22/03/2020
Bulgaria,Bulgaria,163,0,3,22/03/2020 19:23,22/03/2020
Armenia,Armenia,160,1,0,22/03/2020 19:23,22/03/2020
Kuwait,Kuwait,176,27,0,22/03/2020 19:23,22/03/2020
Iraq,Iraq,214,49,17,22/03/2020 19:23,22/03/2020
San Marino,San Marino,151,2,14,22/03/2020 19:23,22/03/2020
Uruguay,Uruguay,135,0,0,22/03/2020 19:23,22/03/2020
Croatia,Croatia,133,5,1,22/03/2020 19:23,22/03/2020
Latvia,Latvia,124,0,0,22/03/2020 19:23,22/03/2020
